0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
도 별,"지역별",수량구성요소,시험품종,,,,,,,,,,,,
,,,,운광 고품 삼광 호품 칠보,,,,"하이아미","진수미","영호진미",,미품 수광 대보 현품 해품,,,
,,현미천립중(g),,22.6,23.1,,23.5,23.2,22.7,,22.5,23.6,23.7,,
,,완전미율(%),,74.3,89.5,,92.7,87.4,87.1,,83.5,85.2,79.6,,
,,"완전미수량
(㎏/10a)",,386,469,,503,443,455,,462,475,454,,
충 북,청원,등숙률(%),,93.1,94.2,94.5,94.1,90.9,94.2,94.3,93.7,95.5,92.9,91.2,
,,정현비율(%),,84.4,84.3,84.5,82.8,82.8,83.9,83.6,83.5,83.8,84.3,84.0,
,,현미천립중(g),,22.6,22.3,24.2,23.1,22.9,23.2,22.8,22.2,23.7,23.3,23.6,
,,완전미율(%),,89.5,93.5,92.2,92.8,93.1,93.8,95.6,95.3,93.3,90.9,94.8,
,,"완전미수량
(㎏/10a)",,417,483,484,436,476,484,470,482,461,467,459,
,보은,등숙률(%),,93.6,94.3,93.1,94.8,92.2,95.5,88.3,91.4,95.4,91.9,,
,,정현비율(%),,85.0,84.7,84.6,84.0,83.6,84.1,83.8,84.1,84.1,85.0,,
,,현미천립중(g),,22.1,22.0,23.8,22.8,22.2,22.4,22.9,21.8,23.3,22.8,,
,,완전미율(%),,85.3,92.7,92.0,92.4,90.2,94.4,95.6,90.4,93.0,92.6,,
,,"완전미수량
(㎏/10a)",,408,495,485,463,480,479,476,452,470,485,,
,제천,등숙률(%),81.3,90.9,,,,87.6,,,,,89.7,,
,,정현비율(%),84.8,85.2,,,,83.5,,,,,85.1,,
,,현미천립중(g) 23.1,,21.5,,,,22.0,,,,,22.1,,
,,완전미율(%),77.5,86.3,,,,90.7,,,,,90.8,,
,,"완전미수량
(㎏/10a)",379,397,,,,433,,,,,452,,
충 남,예산,등숙률(%),,,91.5,,,83.6,92.7,,88.5,,86.2,91.9,
,,정현비율(%),,,84.4,,,83.0,83.8,,83.9,,84.7,84.3,
,,현미천립중(g),,,23.0,,,23.9,23.2,,22.8,,24.1,24.9,
,,완전미율(%),,,95.8,,,90.2,96.3,,96.2,,90.7,97.1,
,,"완전미수량
(㎏/10a)",,,555,,,513,539,,561,,535,545,
,논산,등숙률(%),,,94.0,,,,91.6,,89.2,,90.3,93.6,
,,정현비율(%),,,84.4,,,,83.7,,83.9,,84.6,84.0,
,,현미천립중(g),,,23.2,,,,23.2,,23.1,,24.2,25.6,
,,완전미율(%),,,93.9,,,,92.8,,96.6,,86.7,96.1,
,,"완전미수량
(㎏/10a)",,,574,,,,542,,589,,544,591,
,보령,등숙률(%),,,92.4,,,,,91.3,89.7,,89.3,93.5,
,,정현비율(%),,,85.2,,,,,84.5,84.9,,85.3,85.5,
,,현미천립중(g),,,22.5,,,,,23.7,23.0,,22.7,24.7,
